Fecha,Mes,Dia,Orden de dia,Tipo de dia,Franja,Orden de franja,Aeronave,Alcance,Regimen,Orden de regimen,Origen,Destino,Ruta,N operados,N puntuales,Minutos de demora,N con llegada,Minutos recuperados,Minutos programados,Minutos reales
2017-08-08,Agosto,Martes,2,Dia laborable,Manana (06-11),2,Boeing 767-300,Largo alcance,Demora minima,2,DME,SCW,DME - SCW,1,1,2,1,0.0,80,80.0
2017-08-02,Agosto,Miercoles,3,Dia laborable,Manana (06-11),2,Boeing 767-300,Largo alcance,Demora minima,2,DME,SCW,DME - SCW,1,1,3,1,1.0,80,79.0
2017-08-11,Agosto,Viernes,5,Dia laborable,Manana (06-11),2,Boeing 767-300,Largo alcance,Demora minima,2,DME,SCW,DME - SCW,1,1,1,1,0.0,80,80.0
2017-08-11,Agosto,Viernes,5,Dia laborable,Mediodia (12-15),3,Bombardier CRJ-200,Regional,Demora minima,2,DME,NAL,DME - NAL,1,1,2,1,-1.0,120,121.0
2017-08-06,Agosto,Domingo,7,Fin de semana,Mediodia (12-15),3,Bombardier CRJ-200,Regional,Demora minima,2,DME,NAL,DME - NAL,1,1,4,1,1.0,120,119.0
2017-08-14,Agosto,Lunes,1,Dia laborable,Manana (06-11),2,Airbus A319-100,Largo alcance,Demora minima,2,DME,BTK,DME - BTK,1,1,5,1,-5.0,305,310.0
2017-07-17,Julio,Lunes,1,Dia laborable,Manana (06-11),2,Airbus A319-100,Largo alcance,Demora minima,2,DME,BTK,DME - BTK,1,1,3,1,3.0,305,302.0
2017-08-09,Agosto,Miercoles,3,Dia laborable,Manana (06-11),2,Airbus A319-100,Largo alcance,Demora minima,2,DME,BTK,DME - BTK,1,1,3,1,-1.0,305,306.0
2017-07-23,Julio,Domingo,7,Fin de semana,Mediodia (12-15),3,Cessna 208 Caravan,Regional,Demora minima,2,DME,PKV,DME - PKV,1,1,2,1,1.0,125,124.0
2017-08-11,Agosto,Viernes,5,Dia laborable,Noche (20-23),5,Airbus A319-100,Largo alcance,Demora minima,2,DME,UUS,DME - UUS,1,1,3,1,4.0,530,526.0
2017-07-26,Julio,Miercoles,3,Dia laborable,Noche (20-23),5,Airbus A319-100,Largo alcance,Demora minima,2,DME,UUS,DME - UUS,1,1,1,1,6.0,530,524.0
2017-07-31,Julio,Lunes,1,Dia laborable,Tarde (16-19),4,Boeing 767-300,Largo alcance,Demora minima,2,DME,PKC,DME - PKC,1,1,2,1,6.0,530,524.0
2017-07-27,Julio,Jueves,4,Dia laborable,Tarde (16-19),4,Boeing 767-300,Largo alcance,Demora minima,2,DME,PKC,DME - PKC,1,1,3,1,4.0,530,526.0
2017-08-10,Agosto,Jueves,4,Dia laborable,Mediodia (12-15),3,Sukhoi Superjet-100,Corto y medio alcance,Demora minima,2,DME,NUX,DME - NUX,1,1,2,1,-3.0,190,193.0
2017-07-23,Julio,Domingo,7,Fin de semana,Mediodia (12-15),3,Sukhoi Superjet-100,Corto y medio alcance,Demora minima,2,DME,NUX,DME - NUX,1,1,2,1,0.0,190,190.0
2017-08-06,Agosto,Domingo,7,Fin de semana,Mediodia (12-15),3,Sukhoi Superjet-100,Corto y medio alcance,Demora minima,2,DME,NUX,DME - NUX,1,1,4,1,-2.0,190,192.0
2017-08-03,Agosto,Jueves,4,Dia laborable,Mediodia (12-15),3,Sukhoi Superjet-100,Corto y medio alcance,Demora leve,3,DME,NUX,DME - NUX,1,1,6,1,-2.0,190,192.0
2017-08-05,Agosto,Sabado,6,Fin de semana,Manana (06-11),2,Sukhoi Superjet-100,Corto y medio alcance,Demora minima,2,DME,ESL,DME - ESL,1,1,1,1,-1.0,90,91.0
2017-07-31,Julio,Lunes,1,Dia laborable,Manana (06-11),2,Sukhoi Superjet-100,Corto y medio alcance,Demora minima,2,DME,ESL,DME - ESL,1,1,2,1,-1.0,90,91.0
2017-07-17,Julio,Lunes,1,Dia laborable,Manana (06-11),2,Sukhoi Superjet-100,Corto y medio alcance,Demora minima,2,DME,ESL,DME - ESL,1,1,4,1,-1.0,90,91.0
2017-07-30,Julio,Domingo,7,Fin de semana,Manana (06-11),2,Sukhoi Superjet-100,Corto y medio alcance,Demora minima,2,DME,ESL,DME - ESL,1,1,2,1,-1.0,90,91.0
2017-08-12,Agosto,Sabado,6,Fin de semana,Tarde (16-19),4,Boeing 737-300,Corto y medio alcance,Demora minima,2,DME,MRV,DME - MRV,1,1,3,1,-1.0,110,111.0
2017-07-18,Julio,Martes,2,Dia laborable,Tarde (16-19),4,Boeing 737-300,Corto y medio alcance,Demora leve,3,DME,MRV,DME - MRV,1,1,7,1,-1.0,110,111.0
2017-07-20,Julio,Jueves,4,Dia laborable,Tarde (16-19),4,Boeing 737-300,Corto y medio alcance,Demora minima,2,DME,MRV,DME - MRV,1,1,5,1,1.0,110,109.0
2017-07-26,Julio,Miercoles,3,Dia laborable,Tarde (16-19),4,Boeing 737-300,Corto y medio alcance,Demora minima,2,DME,MRV,DME - MRV,1,1,3,1,2.0,110,108.0
2017-08-08,Agosto,Martes,2,Dia laborable,Manana (06-11),2,Sukhoi Superjet-100,Corto y medio alcance,Demora minima,2,DME,NSK,DME - NSK,1,1,5,1,1.0,230,229.0
2017-07-21,Julio,Viernes,5,Dia laborable,Manana (06-11),2,Sukhoi Superjet-100,Corto y medio alcance,Demora minima,2,DME,NSK,DME - NSK,1,1,4,1,0.0,230,230.0
2017-08-13,Agosto,Domingo,7,Fin de semana,Manana (06-11),2,Sukhoi Superjet-100,Corto y medio alcance,Demora minima,2,DME,NSK,DME - NSK,1,1,3,1,-3.0,230,233.0
2017-07-24,Julio,Lunes,1,Dia laborable,Manana (06-11),2,Bombardier CRJ-200,Regional,Demora minima,2,DME,NNM,DME - NNM,1,1,1,1,0.0,130,130.0
2017-07-27,Julio,Jueves,4,Dia laborable,Manana (06-11),2,Sukhoi Superjet-100,Corto y medio alcance,Demora minima,2,DME,URJ,DME - URJ,1,1,3,1,1.0,135,134.0
2017-07-17,Julio,Lunes,1,Dia laborable,Manana (06-11),2,Sukhoi Superjet-100,Corto y medio alcance,Demora leve,3,DME,URJ,DME - URJ,1,1,7,1,0.0,135,135.0
2017-07-26,Julio,Miercoles,3,Dia laborable,Manana (06-11),2,Sukhoi Superjet-100,Corto y medio alcance,Demora minima,2,DME,URJ,DME - URJ,1,1,1,1,-1.0,135,136.0
2017-07-28,Julio,Viernes,5,Dia laborable,Manana (06-11),2,Sukhoi Superjet-100,Corto y medio alcance,Demora minima,2,DME,HMA,DME - HMA,1,1,3,1,1.0,155,154.0
2017-08-09,Agosto,Miercoles,3,Dia laborable,Manana (06-11),2,Sukhoi Superjet-100,Corto y medio alcance,Demora severa,5,DME,HMA,DME - HMA,1,0,196,1,2.0,155,153.0
2017-08-08,Agosto,Martes,2,Dia laborable,Manana (06-11),2,Sukhoi Superjet-100,Corto y medio alcance,Demora leve,3,DME,OVS,DME - OVS,1,1,6,1,-1.0,130,131.0
2017-08-03,Agosto,Jueves,4,Dia laborable,Manana (06-11),2,Sukhoi Superjet-100,Corto y medio alcance,Demora minima,2,DME,OVS,DME - OVS,1,1,3,1,2.0,130,128.0
2017-08-08,Agosto,Martes,2,Dia laborable,Mediodia (12-15),3,Bombardier CRJ-200,Regional,Demora leve,3,DME,NYM,DME - NYM,1,1,6,1,2.0,185,183.0
2017-08-03,Agosto,Jueves,4,Dia laborable,Tarde (16-19),4,Bombardier CRJ-200,Regional,Demora leve,3,DME,VKT,DME - VKT,1,1,6,1,-3.0,165,168.0
2017-07-29,Julio,Sabado,6,Fin de semana,Tarde (16-19),4,Bombardier CRJ-200,Regional,Demora minima,2,DME,VKT,DME - VKT,1,1,2,1,0.0,165,165.0
2017-07-17,Julio,Lunes,1,Dia laborable,Tarde (16-19),4,Bombardier CRJ-200,Regional,Demora minima,2,DME,VKT,DME - VKT,1,1,4,1,0.0,165,165.0
2017-08-05,Agosto,Sabado,6,Fin de semana,Tarde (16-19),4,Bombardier CRJ-200,Regional,Demora minima,2,DME,UUA,DME - UUA,1,1,5,1,2.0,80,78.0
2017-08-08,Agosto,Martes,2,Dia laborable,Mediodia (12-15),3,Bombardier CRJ-200,Regional,Demora minima,2,DME,GDZ,DME - GDZ,1,1,1,1,-1.0,105,106.0
2017-08-14,Agosto,Lunes,1,Dia laborable,Manana (06-11),2,Bombardier CRJ-200,Regional,Demora minima,2,DME,EYK,DME - EYK,1,1,4,1,0.0,155,155.0
2017-07-24,Julio,Lunes,1,Dia laborable,Tarde (16-19),4,Boeing 767-300,Largo alcance,Demora minima,2,DME,KRR,DME - KRR,1,1,2,1,0.0,90,90.0
2017-07-21,Julio,Viernes,5,Dia laborable,Tarde (16-19),4,Boeing 767-300,Largo alcance,Demora minima,2,DME,KRR,DME - KRR,1,1,2,1,-2.0,90,92.0
2017-07-31,Julio,Lunes,1,Dia laborable,Tarde (16-19),4,Bombardier CRJ-200,Regional,Demora minima,2,DME,RTW,DME - RTW,1,1,5,1,1.0,60,59.0
2017-07-27,Julio,Jueves,4,Dia laborable,Tarde (16-19),4,Bombardier CRJ-200,Regional,Demora minima,2,DME,RTW,DME - RTW,1,1,4,1,0.0,60,60.0
2017-07-16,Julio,Domingo,7,Fin de semana,Tarde (16-19),4,Bombardier CRJ-200,Regional,Demora minima,2,DME,RTW,DME - RTW,1,1,4,1,1.0,60,59.0
2017-08-09,Agosto,Miercoles,3,Dia laborable,Tarde (16-19),4,Sukhoi Superjet-100,Corto y medio alcance,Demora minima,2,DME,ULV,DME - ULV,1,1,4,1,0.0,55,55.0
2017-08-10,Agosto,Jueves,4,Dia laborable,Tarde (16-19),4,Sukhoi Superjet-100,Corto y medio alcance,Salida puntual,1,DME,ULV,DME - ULV,1,1,0,1,0.0,55,55.0
2017-07-22,Julio,Sabado,6,Fin de semana,Tarde (16-19),4,Sukhoi Superjet-100,Corto y medio alcance,Demora minima,2,DME,ULV,DME - ULV,1,1,2,1,0.0,55,55.0
2017-08-03,Agosto,Jueves,4,Dia laborable,Tarde (16-19),4,Sukhoi Superjet-100,Corto y medio alcance,Demora leve,3,DME,ULV,DME - ULV,1,1,11,1,-1.0,55,56.0
2017-07-21,Julio,Viernes,5,Dia laborable,Tarde (16-19),4,Sukhoi Superjet-100,Corto y medio alcance,Demora minima,2,DME,ULV,DME - ULV,1,1,3,1,0.0,55,55.0
2017-08-08,Agosto,Martes,2,Dia laborable,Noche (20-23),5,Boeing 767-300,Largo alcance,Demora minima,2,DME,KHV,DME - KHV,1,1,4,1,1.0,480,479.0
2017-07-25,Julio,Martes,2,Dia laborable,Tarde (16-19),4,Bombardier CRJ-200,Regional,Demora minima,2,DME,MCX,DME - MCX,1,1,4,1,-2.0,135,137.0
2017-07-19,Julio,Miercoles,3,Dia laborable,Tarde (16-19),4,Bombardier CRJ-200,Regional,Demora minima,2,DME,MCX,DME - MCX,1,1,1,1,-1.0,135,136.0
2017-08-08,Agosto,Martes,2,Dia laborable,Tarde (16-19),4,Bombardier CRJ-200,Regional,Demora minima,2,DME,MCX,DME - MCX,1,1,5,1,-1.0,135,136.0
2017-08-15,Agosto,Martes,2,Dia laborable,Manana (06-11),2,Sukhoi Superjet-100,Corto y medio alcance,Salida puntual,1,DME,KEJ,DME - KEJ,1,1,0,1,2.0,240,238.0
2017-07-27,Julio,Jueves,4,Dia laborable,Manana (06-11),2,Sukhoi Superjet-100,Corto y medio alcance,Demora minima,2,DME,KEJ,DME - KEJ,1,1,4,1,0.0,240,240.0
2017-07-16,Julio,Domingo,7,Fin de semana,Manana (06-11),2,Sukhoi Superjet-100,Corto y medio alcance,Demora minima,2,DME,KEJ,DME - KEJ,1,1,5,1,-3.0,240,243.0
2017-07-31,Julio,Lunes,1,Dia laborable,Tarde (16-19),4,Bombardier CRJ-200,Regional,Salida puntual,1,DME,ASF,DME - ASF,1,1,0,1,0.0,105,105.0
2017-08-09,Agosto,Miercoles,3,Dia laborable,Tarde (16-19),4,Bombardier CRJ-200,Regional,Demora minima,2,DME,ASF,DME - ASF,1,1,1,1,0.0,105,105.0
2017-07-23,Julio,Domingo,7,Fin de semana,Tarde (16-19),4,Bombardier CRJ-200,Regional,Demora minima,2,DME,ASF,DME - ASF,1,1,1,1,2.0,105,103.0
2017-07-19,Julio,Miercoles,3,Dia laborable,Tarde (16-19),4,Bombardier CRJ-200,Regional,Demora minima,2,DME,ASF,DME - ASF,1,1,3,1,-2.0,105,107.0
2017-08-12,Agosto,Sabado,6,Fin de semana,Manana (06-11),2,Cessna 208 Caravan,Regional,Demora minima,2,DME,PEZ,DME - PEZ,2,2,3,2,1.0,210,209.0
2017-07-28,Julio,Viernes,5,Dia laborable,Manana (06-11),2,Cessna 208 Caravan,Regional,Demora leve,3,DME,PEZ,DME - PEZ,1,1,7,1,-1.0,105,106.0
2017-08-15,Agosto,Martes,2,Dia laborable,Manana (06-11),2,Cessna 208 Caravan,Regional,Demora minima,2,DME,PEZ,DME - PEZ,1,1,1,1,0.0,105,105.0
2017-07-30,Julio,Domingo,7,Fin de semana,Manana (06-11),2,Cessna 208 Caravan,Regional,Demora minima,2,DME,PEZ,DME - PEZ,2,2,4,2,-2.0,210,212.0
2017-07-30,Julio,Domingo,7,Fin de semana,Mediodia (12-15),3,Cessna 208 Caravan,Regional,Salida puntual,1,DME,LPK,DME - LPK,1,1,0,1,0.0,65,65.0
2017-08-06,Agosto,Domingo,7,Fin de semana,Mediodia (12-15),3,Cessna 208 Caravan,Regional,Demora minima,2,DME,LPK,DME - LPK,1,1,4,1,0.0,65,65.0
2017-07-20,Julio,Jueves,4,Dia laborable,Mediodia (12-15),3,Cessna 208 Caravan,Regional,Demora minima,2,DME,KVX,DME - KVX,1,1,3,1,2.0,150,148.0
2017-07-22,Julio,Sabado,6,Fin de semana,Mediodia (12-15),3,Cessna 208 Caravan,Regional,Demora minima,2,DME,KVX,DME - KVX,1,1,3,1,1.0,150,149.0
2017-08-13,Agosto,Domingo,7,Fin de semana,Mediodia (12-15),3,Cessna 208 Caravan,Regional,Demora minima,2,DME,KVX,DME - KVX,1,1,2,1,-1.0,150,151.0
2017-07-26,Julio,Miercoles,3,Dia laborable,Mediodia (12-15),3,Sukhoi Superjet-100,Corto y medio alcance,Demora minima,2,DME,KGD,DME - KGD,1,1,5,1,-1.0,90,91.0
2017-08-12,Agosto,Sabado,6,Fin de semana,Mediodia (12-15),3,Sukhoi Superjet-100,Corto y medio alcance,Demora minima,2,DME,BZK,DME - BZK,3,3,6,3,1.0,90,89.0
2017-08-03,Agosto,Jueves,4,Dia laborable,Mediodia (12-15),3,Sukhoi Superjet-100,Corto y medio alcance,Demora minima,2,DME,BZK,DME - BZK,2,2,7,2,0.0,60,60.0
2017-07-31,Julio,Lunes,1,Dia laborable,Mediodia (12-15),3,Bombardier CRJ-200,Regional,Demora minima,2,DME,ARH,DME - ARH,1,1,3,1,0.0,85,85.0
2017-08-14,Agosto,Lunes,1,Dia laborable,Mediodia (12-15),3,Bombardier CRJ-200,Regional,Demora minima,2,DME,ARH,DME - ARH,1,1,2,1,1.0,85,84.0
2017-07-20,Julio,Jueves,4,Dia laborable,Mediodia (12-15),3,Bombardier CRJ-200,Regional,Demora minima,2,DME,ARH,DME - ARH,1,1,2,1,0.0,85,85.0
2017-08-05,Agosto,Sabado,6,Fin de semana,Mediodia (12-15),3,Bombardier CRJ-200,Regional,Demora minima,2,DME,ARH,DME - ARH,1,1,2,1,0.0,85,85.0
2017-08-03,Agosto,Jueves,4,Dia laborable,Manana (06-11),2,Airbus A321-200,Corto y medio alcance,Demora minima,2,VKO,LED,VKO - LED,2,2,7,2,-1.0,100,101.0
2017-07-29,Julio,Sabado,6,Fin de semana,Manana (06-11),2,Airbus A321-200,Corto y medio alcance,Demora severa,5,VKO,LED,VKO - LED,1,0,208,1,0.0,50,50.0
2017-07-25,Julio,Martes,2,Dia laborable,Manana (06-11),2,Airbus A321-200,Corto y medio alcance,Demora minima,2,VKO,LED,VKO - LED,3,3,5,3,-1.0,150,151.0
2017-07-28,Julio,Viernes,5,Dia laborable,Manana (06-11),2,Airbus A321-200,Corto y medio alcance,Demora minima,2,VKO,LED,VKO - LED,3,3,7,3,-1.0,150,151.0
2017-07-21,Julio,Viernes,5,Dia laborable,Manana (06-11),2,Bombardier CRJ-200,Regional,Demora minima,2,VKO,MMK,VKO - MMK,1,1,1,1,-2.0,125,127.0
2017-07-19,Julio,Miercoles,3,Dia laborable,Mediodia (12-15),3,Cessna 208 Caravan,Regional,Demora minima,2,VKO,JOK,VKO - JOK,1,1,4,1,-1.0,130,131.0
2017-08-06,Agosto,Domingo,7,Fin de semana,Mediodia (12-15),3,Cessna 208 Caravan,Regional,Demora severa,5,VKO,JOK,VKO - JOK,1,0,213,1,-2.0,130,132.0
2017-08-13,Agosto,Domingo,7,Fin de semana,Manana (06-11),2,Cessna 208 Caravan,Regional,Demora leve,3,VKO,JOK,VKO - JOK,1,1,6,1,-1.0,130,131.0
2017-07-23,Julio,Domingo,7,Fin de semana,Mediodia (12-15),3,Cessna 208 Caravan,Regional,Demora minima,2,VKO,JOK,VKO - JOK,1,1,3,1,0.0,130,130.0
2017-08-03,Agosto,Jueves,4,Dia laborable,Manana (06-11),2,Bombardier CRJ-200,Regional,Demora minima,2,VKO,RTW,VKO - RTW,1,1,4,1,0.0,65,65.0
2017-08-04,Agosto,Viernes,5,Dia laborable,Manana (06-11),2,Bombardier CRJ-200,Regional,Demora minima,2,VKO,RTW,VKO - RTW,1,1,3,1,0.0,65,65.0
2017-08-02,Agosto,Miercoles,3,Dia laborable,Manana (06-11),2,Bombardier CRJ-200,Regional,Demora minima,2,VKO,RTW,VKO - RTW,1,1,1,1,0.0,65,65.0
2017-08-12,Agosto,Sabado,6,Fin de semana,Manana (06-11),2,Sukhoi Superjet-100,Corto y medio alcance,Demora leve,3,VKO,BAX,VKO - BAX,1,1,6,1,-1.0,235,236.0
2017-08-14,Agosto,Lunes,1,Dia laborable,Tarde (16-19),4,Sukhoi Superjet-100,Corto y medio alcance,Demora leve,3,VKO,ULV,VKO - ULV,1,1,6,1,1.0,55,54.0
2017-07-16,Julio,Domingo,7,Fin de semana,Tarde (16-19),4,Boeing 767-300,Largo alcance,Demora minima,2,VKO,VVO,VKO - VVO,1,1,5,1,-12.0,505,517.0
2017-08-04,Agosto,Viernes,5,Dia laborable,Tarde (16-19),4,Boeing 767-300,Largo alcance,Salida puntual,1,VKO,VVO,VKO - VVO,1,1,0,1,-4.0,505,509.0
2017-08-14,Agosto,Lunes,1,Dia laborable,Mediodia (12-15),3,Sukhoi Superjet-100,Corto y medio alcance,Demora minima,2,VKO,REN,VKO - REN,1,1,2,1,-1.0,100,101.0
2017-07-27,Julio,Jueves,4,Dia laborable,Mediodia (12-15),3,Airbus A319-100,Largo alcance,Demora minima,2,VKO,KEJ,VKO - KEJ,1,1,4,1,1.0,240,239.0
2017-07-21,Julio,Viernes,5,Dia laborable,Mediodia (12-15),3,Bombardier CRJ-200,Regional,Demora minima,2,VKO,CSY,VKO - CSY,1,1,3,1,0.0,55,55.0
2017-08-12,Agosto,Sabado,6,Fin de semana,Mediodia (12-15),3,Bombardier CRJ-200,Regional,Demora minima,2,VKO,MQF,VKO - MQF,1,1,2,1,-2.0,120,122.0
2017-07-16,Julio,Domingo,7,Fin de semana,Mediodia (12-15),3,Bombardier CRJ-200,Regional,Demora minima,2,VKO,MQF,VKO - MQF,1,1,5,1,-1.0,120,121.0
2017-08-10,Agosto,Jueves,4,Dia laborable,Mediodia (12-15),3,Sukhoi Superjet-100,Corto y medio alcance,Demora leve,3,VKO,BZK,VKO - BZK,1,1,6,1,1.0,25,24.0
2017-07-19,Julio,Miercoles,3,Dia laborable,Tarde (16-19),4,Sukhoi Superjet-100,Corto y medio alcance,Demora minima,2,VKO,BZK,VKO - BZK,1,1,4,1,0.0,25,25.0
2017-08-15,Agosto,Martes,2,Dia laborable,Mediodia (12-15),3,Boeing 767-300,Largo alcance,Demora minima,2,VKO,AER,VKO - AER,1,1,2,1,0.0,105,105.0
2017-07-19,Julio,Miercoles,3,Dia laborable,Mediodia (12-15),3,Sukhoi Superjet-100,Corto y medio alcance,Demora minima,2,VKO,OGZ,VKO - OGZ,1,1,2,1,2.0,120,118.0
2017-07-25,Julio,Martes,2,Dia laborable,Mediodia (12-15),3,Sukhoi Superjet-100,Corto y medio alcance,Demora minima,2,VKO,OGZ,VKO - OGZ,1,1,4,1,2.0,120,118.0
2017-08-04,Agosto,Viernes,5,Dia laborable,Mediodia (12-15),3,Bombardier CRJ-200,Regional,Demora minima,2,VKO,SKX,VKO - SKX,1,1,4,1,1.0,45,44.0
2017-07-28,Julio,Viernes,5,Dia laborable,Mediodia (12-15),3,Bombardier CRJ-200,Regional,Demora minima,2,VKO,SKX,VKO - SKX,1,1,3,1,0.0,45,45.0
2017-08-06,Agosto,Domingo,7,Fin de semana,Mediodia (12-15),3,Airbus A321-200,Corto y medio alcance,Demora leve,3,SVO,LED,SVO - LED,1,1,7,1,1.0,50,49.0
2017-07-29,Julio,Sabado,6,Fin de semana,Tarde (16-19),4,Airbus A321-200,Corto y medio alcance,Demora minima,2,SVO,LED,SVO - LED,2,2,8,2,2.0,100,98.0
2017-08-08,Agosto,Martes,2,Dia laborable,Tarde (16-19),4,Airbus A321-200,Corto y medio alcance,Demora minima,2,SVO,LED,SVO - LED,2,2,6,2,-2.0,100,102.0
2017-07-18,Julio,Martes,2,Dia laborable,Manana (06-11),2,Airbus A321-200,Corto y medio alcance,Demora minima,2,SVO,LED,SVO - LED,1,1,2,1,-1.0,50,51.0
2017-08-05,Agosto,Sabado,6,Fin de semana,Manana (06-11),2,Airbus A321-200,Corto y medio alcance,Demora minima,2,SVO,LED,SVO - LED,1,1,4,1,0.0,50,50.0
2017-08-05,Agosto,Sabado,6,Fin de semana,Mediodia (12-15),3,Airbus A321-200,Corto y medio alcance,Demora severa,5,SVO,LED,SVO - LED,1,0,183,1,1.0,50,49.0
2017-07-31,Julio,Lunes,1,Dia laborable,Manana (06-11),2,Airbus A321-200,Corto y medio alcance,Demora leve,3,SVO,LED,SVO - LED,1,1,6,1,0.0,50,50.0
