Fecha,Mes,Dia,Orden de dia,Tipo de dia,Franja,Orden de franja,Aeronave,Alcance,Asientos,Estado,Estado descrito,Origen,Destino,Ruta,N vuelos,N operados,N cancelados
2017-07-16,Julio,Domingo,7,Fin de semana,Mediodia (12-15),3,Sukhoi Superjet-100,Corto y medio alcance,97,Arrived,Vuelo operado y finalizado,DME,OVS,DME - OVS,1,1,0
2017-09-08,Septiembre,Viernes,5,Dia laborable,Mediodia (12-15),3,Sukhoi Superjet-100,Corto y medio alcance,97,Scheduled,Vuelo programado a futuro,DME,OVS,DME - OVS,1,0,0
2017-07-23,Julio,Domingo,7,Fin de semana,Mediodia (12-15),3,Sukhoi Superjet-100,Corto y medio alcance,97,Arrived,Vuelo operado y finalizado,DME,OVS,DME - OVS,1,1,0
2017-08-11,Agosto,Viernes,5,Dia laborable,Manana (06-11),2,Sukhoi Superjet-100,Corto y medio alcance,97,Arrived,Vuelo operado y finalizado,DME,OVS,DME - OVS,1,1,0
2017-09-13,Septiembre,Miercoles,3,Dia laborable,Mediodia (12-15),3,Bombardier CRJ-200,Regional,50,Scheduled,Vuelo programado a futuro,DME,NYM,DME - NYM,1,0,0
2017-07-28,Julio,Viernes,5,Dia laborable,Mediodia (12-15),3,Bombardier CRJ-200,Regional,50,Arrived,Vuelo operado y finalizado,DME,NYM,DME - NYM,1,1,0
2017-08-26,Agosto,Sabado,6,Fin de semana,Tarde (16-19),4,Bombardier CRJ-200,Regional,50,Scheduled,Vuelo programado a futuro,DME,UUA,DME - UUA,1,0,0
2017-09-05,Septiembre,Martes,2,Dia laborable,Tarde (16-19),4,Bombardier CRJ-200,Regional,50,Scheduled,Vuelo programado a futuro,DME,UUA,DME - UUA,1,0,0
2017-08-06,Agosto,Domingo,7,Fin de semana,Tarde (16-19),4,Bombardier CRJ-200,Regional,50,Arrived,Vuelo operado y finalizado,DME,UUA,DME - UUA,1,1,0
2017-08-28,Agosto,Lunes,1,Dia laborable,Tarde (16-19),4,Bombardier CRJ-200,Regional,50,Scheduled,Vuelo programado a futuro,DME,UUA,DME - UUA,1,0,0
2017-09-05,Septiembre,Martes,2,Dia laborable,Tarde (16-19),4,Boeing 767-300,Largo alcance,222,Scheduled,Vuelo programado a futuro,DME,KRR,DME - KRR,1,0,0
2017-08-15,Agosto,Martes,2,Dia laborable,Tarde (16-19),4,Boeing 767-300,Largo alcance,222,On Time,"Vuelo proximo, sin demora anunciada",DME,KRR,DME - KRR,1,0,0
2017-08-30,Agosto,Miercoles,3,Dia laborable,Tarde (16-19),4,Boeing 767-300,Largo alcance,222,Scheduled,Vuelo programado a futuro,DME,KRR,DME - KRR,1,0,0
2017-08-25,Agosto,Viernes,5,Dia laborable,Tarde (16-19),4,Boeing 767-300,Largo alcance,222,Scheduled,Vuelo programado a futuro,DME,KRR,DME - KRR,1,0,0
2017-09-13,Septiembre,Miercoles,3,Dia laborable,Tarde (16-19),4,Boeing 767-300,Largo alcance,222,Scheduled,Vuelo programado a futuro,DME,KRR,DME - KRR,1,0,0
2017-08-13,Agosto,Domingo,7,Fin de semana,Tarde (16-19),4,Bombardier CRJ-200,Regional,50,Arrived,Vuelo operado y finalizado,DME,RTW,DME - RTW,1,1,0
2017-09-05,Septiembre,Martes,2,Dia laborable,Manana (06-11),2,Sukhoi Superjet-100,Corto y medio alcance,97,Scheduled,Vuelo programado a futuro,DME,BAX,DME - BAX,1,0,0
2017-08-30,Agosto,Miercoles,3,Dia laborable,Tarde (16-19),4,Sukhoi Superjet-100,Corto y medio alcance,97,Scheduled,Vuelo programado a futuro,DME,ULV,DME - ULV,1,0,0
2017-09-05,Septiembre,Martes,2,Dia laborable,Tarde (16-19),4,Sukhoi Superjet-100,Corto y medio alcance,97,Scheduled,Vuelo programado a futuro,DME,ULV,DME - ULV,1,0,0
2017-07-19,Julio,Miercoles,3,Dia laborable,Noche (20-23),5,Boeing 767-300,Largo alcance,222,Arrived,Vuelo operado y finalizado,DME,KHV,DME - KHV,1,1,0
2017-09-06,Septiembre,Miercoles,3,Dia laborable,Noche (20-23),5,Boeing 767-300,Largo alcance,222,Scheduled,Vuelo programado a futuro,DME,KHV,DME - KHV,1,0,0
2017-07-29,Julio,Sabado,6,Fin de semana,Tarde (16-19),4,Bombardier CRJ-200,Regional,50,Arrived,Vuelo operado y finalizado,DME,MCX,DME - MCX,1,1,0
2017-08-08,Agosto,Martes,2,Dia laborable,Tarde (16-19),4,Bombardier CRJ-200,Regional,50,Arrived,Vuelo operado y finalizado,DME,MCX,DME - MCX,1,1,0
2017-07-16,Julio,Domingo,7,Fin de semana,Manana (06-11),2,Sukhoi Superjet-100,Corto y medio alcance,97,Arrived,Vuelo operado y finalizado,DME,KEJ,DME - KEJ,1,1,0
2017-07-20,Julio,Jueves,4,Dia laborable,Manana (06-11),2,Sukhoi Superjet-100,Corto y medio alcance,97,Arrived,Vuelo operado y finalizado,DME,KEJ,DME - KEJ,1,1,0
2017-08-16,Agosto,Miercoles,3,Dia laborable,Tarde (16-19),4,Bombardier CRJ-200,Regional,50,On Time,"Vuelo proximo, sin demora anunciada",DME,ASF,DME - ASF,1,0,0
2017-08-05,Agosto,Sabado,6,Fin de semana,Tarde (16-19),4,Bombardier CRJ-200,Regional,50,Arrived,Vuelo operado y finalizado,DME,ASF,DME - ASF,1,1,0
2017-08-17,Agosto,Jueves,4,Dia laborable,Manana (06-11),2,Cessna 208 Caravan,Regional,12,Scheduled,Vuelo programado a futuro,DME,PEZ,DME - PEZ,2,0,0
2017-08-05,Agosto,Sabado,6,Fin de semana,Mediodia (12-15),3,Cessna 208 Caravan,Regional,12,Arrived,Vuelo operado y finalizado,DME,KVX,DME - KVX,1,1,0
2017-09-13,Septiembre,Miercoles,3,Dia laborable,Mediodia (12-15),3,Sukhoi Superjet-100,Corto y medio alcance,97,Scheduled,Vuelo programado a futuro,DME,KGD,DME - KGD,1,0,0
2017-09-12,Septiembre,Martes,2,Dia laborable,Mediodia (12-15),3,Sukhoi Superjet-100,Corto y medio alcance,97,Scheduled,Vuelo programado a futuro,DME,KGD,DME - KGD,1,0,0
2017-07-28,Julio,Viernes,5,Dia laborable,Manana (06-11),2,Sukhoi Superjet-100,Corto y medio alcance,97,Arrived,Vuelo operado y finalizado,DME,URS,DME - URS,1,1,0
2017-07-25,Julio,Martes,2,Dia laborable,Manana (06-11),2,Sukhoi Superjet-100,Corto y medio alcance,97,Arrived,Vuelo operado y finalizado,DME,URS,DME - URS,1,1,0
2017-09-12,Septiembre,Martes,2,Dia laborable,Mediodia (12-15),3,Sukhoi Superjet-100,Corto y medio alcance,97,Scheduled,Vuelo programado a futuro,DME,BZK,DME - BZK,3,0,0
2017-08-04,Agosto,Viernes,5,Dia laborable,Mediodia (12-15),3,Sukhoi Superjet-100,Corto y medio alcance,97,Arrived,Vuelo operado y finalizado,DME,BZK,DME - BZK,3,3,0
2017-08-07,Agosto,Lunes,1,Dia laborable,Tarde (16-19),4,Sukhoi Superjet-100,Corto y medio alcance,97,Arrived,Vuelo operado y finalizado,DME,EGO,DME - EGO,1,1,0
2017-08-21,Agosto,Lunes,1,Dia laborable,Mediodia (12-15),3,Bombardier CRJ-200,Regional,50,Scheduled,Vuelo programado a futuro,DME,ARH,DME - ARH,1,0,0
2017-08-14,Agosto,Lunes,1,Dia laborable,Mediodia (12-15),3,Bombardier CRJ-200,Regional,50,Arrived,Vuelo operado y finalizado,DME,ARH,DME - ARH,1,1,0
2017-08-01,Agosto,Martes,2,Dia laborable,Mediodia (12-15),3,Bombardier CRJ-200,Regional,50,Arrived,Vuelo operado y finalizado,DME,ARH,DME - ARH,1,1,0
2017-07-18,Julio,Martes,2,Dia laborable,Manana (06-11),2,Airbus A321-200,Corto y medio alcance,170,Arrived,Vuelo operado y finalizado,VKO,LED,VKO - LED,3,3,0
2017-07-20,Julio,Jueves,4,Dia laborable,Mediodia (12-15),3,Bombardier CRJ-200,Regional,50,Arrived,Vuelo operado y finalizado,VKO,OMS,VKO - OMS,1,1,0
2017-08-08,Agosto,Martes,2,Dia laborable,Mediodia (12-15),3,Bombardier CRJ-200,Regional,50,Arrived,Vuelo operado y finalizado,VKO,OMS,VKO - OMS,1,1,0
2017-08-12,Agosto,Sabado,6,Fin de semana,Mediodia (12-15),3,Bombardier CRJ-200,Regional,50,Arrived,Vuelo operado y finalizado,VKO,OMS,VKO - OMS,1,1,0
2017-07-18,Julio,Martes,2,Dia laborable,Manana (06-11),2,Boeing 777-300,Largo alcance,402,Arrived,Vuelo operado y finalizado,VKO,PEE,VKO - PEE,1,1,0
2017-08-18,Agosto,Viernes,5,Dia laborable,Tarde (16-19),4,Sukhoi Superjet-100,Corto y medio alcance,97,Scheduled,Vuelo programado a futuro,VKO,VOG,VKO - VOG,1,0,0
2017-07-23,Julio,Domingo,7,Fin de semana,Tarde (16-19),4,Sukhoi Superjet-100,Corto y medio alcance,97,Arrived,Vuelo operado y finalizado,VKO,VOG,VKO - VOG,1,1,0
2017-07-29,Julio,Sabado,6,Fin de semana,Manana (06-11),2,Bombardier CRJ-200,Regional,50,Arrived,Vuelo operado y finalizado,VKO,MMK,VKO - MMK,1,1,0
2017-09-08,Septiembre,Viernes,5,Dia laborable,Mediodia (12-15),3,Bombardier CRJ-200,Regional,50,Scheduled,Vuelo programado a futuro,VKO,PES,VKO - PES,1,0,0
2017-08-18,Agosto,Viernes,5,Dia laborable,Mediodia (12-15),3,Cessna 208 Caravan,Regional,12,Scheduled,Vuelo programado a futuro,VKO,JOK,VKO - JOK,1,0,0
2017-08-22,Agosto,Martes,2,Dia laborable,Manana (06-11),2,Cessna 208 Caravan,Regional,12,Scheduled,Vuelo programado a futuro,VKO,JOK,VKO - JOK,1,0,0
2017-09-14,Septiembre,Jueves,4,Dia laborable,Mediodia (12-15),3,Cessna 208 Caravan,Regional,12,Scheduled,Vuelo programado a futuro,VKO,JOK,VKO - JOK,1,0,0
2017-08-20,Agosto,Domingo,7,Fin de semana,Manana (06-11),2,Cessna 208 Caravan,Regional,12,Scheduled,Vuelo programado a futuro,VKO,JOK,VKO - JOK,1,0,0
2017-07-27,Julio,Jueves,4,Dia laborable,Manana (06-11),2,Bombardier CRJ-200,Regional,50,Arrived,Vuelo operado y finalizado,VKO,NOJ,VKO - NOJ,1,1,0
2017-07-25,Julio,Martes,2,Dia laborable,Manana (06-11),2,Bombardier CRJ-200,Regional,50,Arrived,Vuelo operado y finalizado,VKO,NOJ,VKO - NOJ,1,1,0
2017-07-30,Julio,Domingo,7,Fin de semana,Mediodia (12-15),3,Bombardier CRJ-200,Regional,50,Arrived,Vuelo operado y finalizado,VKO,GDZ,VKO - GDZ,1,1,0
2017-07-18,Julio,Martes,2,Dia laborable,Manana (06-11),2,Bombardier CRJ-200,Regional,50,Arrived,Vuelo operado y finalizado,VKO,RTW,VKO - RTW,1,1,0
2017-07-16,Julio,Domingo,7,Fin de semana,Manana (06-11),2,Bombardier CRJ-200,Regional,50,Arrived,Vuelo operado y finalizado,VKO,RTW,VKO - RTW,1,1,0
2017-07-24,Julio,Lunes,1,Dia laborable,Manana (06-11),2,Sukhoi Superjet-100,Corto y medio alcance,97,Arrived,Vuelo operado y finalizado,VKO,BAX,VKO - BAX,1,1,0
2017-08-25,Agosto,Viernes,5,Dia laborable,Tarde (16-19),4,Sukhoi Superjet-100,Corto y medio alcance,97,Scheduled,Vuelo programado a futuro,VKO,ULV,VKO - ULV,1,0,0
2017-07-25,Julio,Martes,2,Dia laborable,Tarde (16-19),4,Sukhoi Superjet-100,Corto y medio alcance,97,Arrived,Vuelo operado y finalizado,VKO,ULV,VKO - ULV,1,1,0
2017-07-23,Julio,Domingo,7,Fin de semana,Tarde (16-19),4,Sukhoi Superjet-100,Corto y medio alcance,97,Arrived,Vuelo operado y finalizado,VKO,ULV,VKO - ULV,1,1,0
2017-08-27,Agosto,Domingo,7,Fin de semana,Tarde (16-19),4,Sukhoi Superjet-100,Corto y medio alcance,97,Scheduled,Vuelo programado a futuro,VKO,ULV,VKO - ULV,1,0,0
2017-08-24,Agosto,Jueves,4,Dia laborable,Tarde (16-19),4,Boeing 767-300,Largo alcance,222,Scheduled,Vuelo programado a futuro,VKO,VVO,VKO - VVO,1,0,0
2017-08-11,Agosto,Viernes,5,Dia laborable,Tarde (16-19),4,Boeing 767-300,Largo alcance,222,Arrived,Vuelo operado y finalizado,VKO,VVO,VKO - VVO,1,1,0
2017-09-06,Septiembre,Miercoles,3,Dia laborable,Tarde (16-19),4,Boeing 767-300,Largo alcance,222,Scheduled,Vuelo programado a futuro,VKO,VVO,VKO - VVO,1,0,0
2017-08-27,Agosto,Domingo,7,Fin de semana,Mediodia (12-15),3,Sukhoi Superjet-100,Corto y medio alcance,97,Scheduled,Vuelo programado a futuro,VKO,REN,VKO - REN,1,0,0
2017-07-27,Julio,Jueves,4,Dia laborable,Manana (06-11),2,Airbus A319-100,Largo alcance,116,Arrived,Vuelo operado y finalizado,VKO,UUD,VKO - UUD,1,1,0
2017-08-29,Agosto,Martes,2,Dia laborable,Tarde (16-19),4,Bombardier CRJ-200,Regional,50,Scheduled,Vuelo programado a futuro,VKO,STW,VKO - STW,1,0,0
2017-08-27,Agosto,Domingo,7,Fin de semana,Tarde (16-19),4,Bombardier CRJ-200,Regional,50,Scheduled,Vuelo programado a futuro,VKO,STW,VKO - STW,1,0,0
2017-07-30,Julio,Domingo,7,Fin de semana,Tarde (16-19),4,Bombardier CRJ-200,Regional,50,Arrived,Vuelo operado y finalizado,VKO,STW,VKO - STW,1,1,0
2017-08-13,Agosto,Domingo,7,Fin de semana,Mediodia (12-15),3,Bombardier CRJ-200,Regional,50,Arrived,Vuelo operado y finalizado,VKO,MQF,VKO - MQF,1,1,0
2017-09-14,Septiembre,Jueves,4,Dia laborable,Tarde (16-19),4,Sukhoi Superjet-100,Corto y medio alcance,97,Cancelled,Vuelo cancelado: no se opero,VKO,BZK,VKO - BZK,1,0,1
2017-08-22,Agosto,Martes,2,Dia laborable,Mediodia (12-15),3,Sukhoi Superjet-100,Corto y medio alcance,97,Scheduled,Vuelo programado a futuro,VKO,BZK,VKO - BZK,2,0,0
2017-07-19,Julio,Miercoles,3,Dia laborable,Mediodia (12-15),3,Boeing 767-300,Largo alcance,222,Arrived,Vuelo operado y finalizado,VKO,AER,VKO - AER,1,1,0
2017-08-06,Agosto,Domingo,7,Fin de semana,Mediodia (12-15),3,Boeing 767-300,Largo alcance,222,Arrived,Vuelo operado y finalizado,VKO,AER,VKO - AER,1,1,0
2017-09-01,Septiembre,Viernes,5,Dia laborable,Mediodia (12-15),3,Boeing 767-300,Largo alcance,222,Scheduled,Vuelo programado a futuro,VKO,AER,VKO - AER,1,0,0
2017-09-05,Septiembre,Martes,2,Dia laborable,Tarde (16-19),4,Bombardier CRJ-200,Regional,50,Scheduled,Vuelo programado a futuro,VKO,KRO,VKO - KRO,1,0,0
2017-08-02,Agosto,Miercoles,3,Dia laborable,Mediodia (12-15),3,Bombardier CRJ-200,Regional,50,Arrived,Vuelo operado y finalizado,VKO,SKX,VKO - SKX,1,1,0
2017-07-31,Julio,Lunes,1,Dia laborable,Mediodia (12-15),3,Bombardier CRJ-200,Regional,50,Arrived,Vuelo operado y finalizado,VKO,SKX,VKO - SKX,1,1,0
2017-07-28,Julio,Viernes,5,Dia laborable,Mediodia (12-15),3,Bombardier CRJ-200,Regional,50,Arrived,Vuelo operado y finalizado,VKO,SKX,VKO - SKX,1,1,0
2017-07-18,Julio,Martes,2,Dia laborable,Mediodia (12-15),3,Bombardier CRJ-200,Regional,50,Arrived,Vuelo operado y finalizado,VKO,SKX,VKO - SKX,1,1,0
2017-09-09,Septiembre,Sabado,6,Fin de semana,Mediodia (12-15),3,Airbus A321-200,Corto y medio alcance,170,Scheduled,Vuelo programado a futuro,SVO,LED,SVO - LED,2,0,0
2017-08-23,Agosto,Miercoles,3,Dia laborable,Tarde (16-19),4,Airbus A321-200,Corto y medio alcance,170,Scheduled,Vuelo programado a futuro,SVO,LED,SVO - LED,2,0,0
2017-07-31,Julio,Lunes,1,Dia laborable,Manana (06-11),2,Airbus A321-200,Corto y medio alcance,170,Arrived,Vuelo operado y finalizado,SVO,LED,SVO - LED,1,1,0
2017-07-25,Julio,Martes,2,Dia laborable,Manana (06-11),2,Airbus A321-200,Corto y medio alcance,170,Arrived,Vuelo operado y finalizado,SVO,LED,SVO - LED,1,1,0
2017-08-03,Agosto,Jueves,4,Dia laborable,Tarde (16-19),4,Airbus A321-200,Corto y medio alcance,170,Arrived,Vuelo operado y finalizado,SVO,LED,SVO - LED,2,2,0
2017-08-26,Agosto,Sabado,6,Fin de semana,Tarde (16-19),4,Airbus A321-200,Corto y medio alcance,170,Scheduled,Vuelo programado a futuro,SVO,LED,SVO - LED,2,0,0
2017-09-05,Septiembre,Martes,2,Dia laborable,Manana (06-11),2,Boeing 777-300,Largo alcance,402,Scheduled,Vuelo programado a futuro,SVO,OVB,SVO - OVB,1,0,0
2017-08-14,Agosto,Lunes,1,Dia laborable,Manana (06-11),2,Boeing 777-300,Largo alcance,402,Arrived,Vuelo operado y finalizado,SVO,OVB,SVO - OVB,1,1,0
2017-09-10,Septiembre,Domingo,7,Fin de semana,Mediodia (12-15),3,Boeing 777-300,Largo alcance,402,Scheduled,Vuelo programado a futuro,SVO,SVX,SVO - SVX,1,0,0
2017-09-12,Septiembre,Martes,2,Dia laborable,Mediodia (12-15),3,Boeing 777-300,Largo alcance,402,Scheduled,Vuelo programado a futuro,SVO,SVX,SVO - SVX,1,0,0
2017-08-22,Agosto,Martes,2,Dia laborable,Mediodia (12-15),3,Sukhoi Superjet-100,Corto y medio alcance,97,Scheduled,Vuelo programado a futuro,SVO,OMS,SVO - OMS,1,0,0
2017-07-21,Julio,Viernes,5,Dia laborable,Mediodia (12-15),3,Sukhoi Superjet-100,Corto y medio alcance,97,Arrived,Vuelo operado y finalizado,SVO,OMS,SVO - OMS,1,1,0
2017-07-22,Julio,Sabado,6,Fin de semana,Tarde (16-19),4,Boeing 737-300,Corto y medio alcance,130,Arrived,Vuelo operado y finalizado,SVO,ROV,SVO - ROV,1,1,0
2017-08-26,Agosto,Sabado,6,Fin de semana,Tarde (16-19),4,Boeing 737-300,Corto y medio alcance,130,Scheduled,Vuelo programado a futuro,SVO,ROV,SVO - ROV,1,0,0
2017-07-16,Julio,Domingo,7,Fin de semana,Tarde (16-19),4,Boeing 737-300,Corto y medio alcance,130,Arrived,Vuelo operado y finalizado,SVO,ROV,SVO - ROV,1,1,0
2017-08-06,Agosto,Domingo,7,Fin de semana,Manana (06-11),2,Boeing 767-300,Largo alcance,222,Arrived,Vuelo operado y finalizado,SVO,UFA,SVO - UFA,1,1,0
2017-08-31,Agosto,Jueves,4,Dia laborable,Manana (06-11),2,Airbus A319-100,Largo alcance,116,Scheduled,Vuelo programado a futuro,SVO,KJA,SVO - KJA,1,0,0
2017-08-20,Agosto,Domingo,7,Fin de semana,Tarde (16-19),4,Sukhoi Superjet-100,Corto y medio alcance,97,Scheduled,Vuelo programado a futuro,SVO,MMK,SVO - MMK,1,0,0
2017-08-17,Agosto,Jueves,4,Dia laborable,Tarde (16-19),4,Cessna 208 Caravan,Regional,12,Scheduled,Vuelo programado a futuro,SVO,PES,SVO - PES,1,0,0
